Object Type,Project Name,Item Ark,Parent ARK,Subject,Type.typeOfResource,Rights.copyrightStatus,Type.genre,Name.subject,Name.repository,Coverage.geographic,Relation.isPartOf,Rights.servicesContact,Name.photographer,Rights.permission,Name.architect,Date.normalized,AltIdentifier.local,Title,Date.creation,Format.extent,Format.medium,Description.note,Description.fundingNote,Description.longitude,Description.latitude,Description.caption,Language,Name.artist,Coverage.temporal,Alt ID.collection,thumbnailImageName,File Name
Work,"Connell (Will) Papers, 1928-1961",21198/zz002h2g1g,21198/zz002h2fpt,,still image,copyrighted,Portrait photographs|~|black-and-white photographs|~|cellulose nitrate film,"Tice, Opal Weimer Fostvedt, $d 1900-1978","University of California, Los Angeles. $b Library Special Collections",,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,,1933/1946,uclamss_893_0215,"Opal Weimer Fostvedt Tice, 1933-1946",[between 1933-1946],1 photographic negative,b&w nitrate negative,Bust-length portrait of Opal Weimer Fostvedt Tice in a floral dress|~|Opal Weimer Fostvedt Tice was a member of the Los Angeles art community and often a model for photographers in the group.,Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: Fostveldt. Frankenfield. Jos. Paget-Fredericks,,,,,uclamss_893_0215.jpg,uclamss_893_0215.tif
Work,"Connell (Will) Papers, 1928-1961",21198/zz002h2g20,21198/zz002h2fpt,,still image,copyrighted,Portrait photographs|~|black-and-white photographs|~|cellulose nitrate film,"Tice, Opal Weimer Fostvedt, $d 1900-1978","University of California, Los Angeles. $b Library Special Collections",,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,,1933/1946,uclamss_893_0216,"Opal Weimer Fostvedt Tice, 1933-1946",[between 1933-1946],1 photographic negative,b&w nitrate negative,Opal Weimer Fostvedt Tice was a member of the Los Angeles art community and often a model for photographers in the group.|~|Half--length portrait of Opal Weimer Fostvedt Tice in a floral dress,Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: Fostveldt. Frankenfield. Jos. Paget-Fredericks,,,,,uclamss_893_0216.jpg,uclamss_893_0216.tif
Work,"Connell (Will) Papers, 1928-1961",21198/zz002h2g3h,21198/zz002h2fpt,,still image,copyrighted,Portrait photographs|~|acetate film|~|black-and-white photographs,"Tice, Opal Weimer Fostvedt, $d 1900-1978","University of California, Los Angeles. $b Library Special Collections",,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,,1933/1946,uclamss_893_0217,"Opal Weimer Fostvedt Tice, 1933-1946",[between 1933-1946],1 photographic negative,b&w acetate negative,"Photograph of Opal Weimer Fostvedt Tice in a floral dress, bust-length, from the back|~|Opal Weimer Fostvedt Tice was a member of the Los Angeles art community and often a model for photographers in the group.",Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: Fostveldt. Frankenfield. Jos. Paget-Fredericks,,,,,uclamss_893_0217.jpg,uclamss_893_0217.tif
Work,"Connell (Will) Papers, 1928-1961",21198/zz002h2g41,21198/zz002h2fpt,Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles,still image,copyrighted,black-and-white photographs|~|cellulose nitrate film,,"University of California, Los Angeles. $b Library Special Collections",California--Los Angeles,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,"Davidson, Julius Ralph, $d 1889-",1929,uclamss_893_0218,"Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",[cira 1929],1 photographic negative,b&w nitrate negative,"Overhead view of The Bachelors haberdashery from the back of the shop, designed by Julius Ralph Davidson in an art deco style ""featuring panels of Makassar ebony set into aluminum frames, brown and tan carpeting laid in strips..."" (Christopher Long, ""The Rise of California Modern Design, 1930-41."" in ed. Wendy Kaplan, California Design, 1930-1965: Living in a Modern Way (2012), 65.|~|The Bachelors haberdashery was located at 3931 Wilshire Blvd.",Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: Jock Peters - Bachelors - Rewelling,,,,,uclamss_893_0218.jpg,uclamss_893_0218.tif
Work,"Connell (Will) Papers, 1928-1961",21198/zz002h2g5j,21198/zz002h2fpt,Interior design $z California $z Los Angeles,still image,copyrighted,black-and-white photographs|~|cellulose nitrate film,,"University of California, Los Angeles. $b Library Special Collections",California--Los Angeles,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,"Davidson, Julius Ralph, $d 1889-",1929,uclamss_893_0219,"Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",[circa 1929],1 photographic negative,b&w nitrate negative,"Detail view of art deco cabinet with wood paneling and aluminum strips in The Bachelors haberdashery, designed by Julius Ralph Davidson. Men's brief cases and satchels are on top of the cabinet and a cactus (?) in a pot stands next to the cabinet, in front of venetian blinds functioning as a room divider. The carpeting is composed of brown and tan strips.",Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: Jock Peters - Bachelors - Rewelling,,,,,uclamss_893_0219.jpg,uclamss_893_0219.tif
Work,"Connell (Will) Papers, 1928-1961",21198/zz002h2g62,21198/zz002h2fpt,Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles,still image,copyrighted,black-and-white photographs|~|cellulose nitrate film,,"University of California, Los Angeles. $b Library Special Collections",California--Los Angeles,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,"Davidson, Julius Ralph, $d 1889-",1929,uclamss_893_0220,"Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",[circa 1929],1 photographic negative,b&w nitrate negative,"Interior view of a built-in wall display and built-in sofa at The Bachelors haberdashery, designed by Julius Ralph Davidson in an art deco style, ""featuring panels of Makassar ebony set into aluminum frames, brown and tan carpeting laid in strips, and high-quality pigskin upholstery."" (Christopher Long, ""The Rise of California Modern Design, 1930-41."" in ed. Wendy Kaplan, California Design, 1930-1965: Living in a Modern Way (2012), 65.|~|The Bachelors haberdashery was located at 3931 Wilshire Blvd.",Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: Jock Peters - Bachelors - Rewelling,,,,,uclamss_893_0220.jpg,uclamss_893_0220.tif
Work,"Connell (Will) Papers, 1928-1961",21198/zz002h2g7k,21198/zz002h2fpt,Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles,still image,copyrighted,black-and-white photographs|~|cellulose nitrate film,,"University of California, Los Angeles. $b Library Special Collections",California--Los Angeles,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,"Davidson, Julius Ralph, $d 1889-",1929,uclamss_893_0221,"Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",[circa 1929],1 photographic negative,b&w nitrate negative,"Interior view of a desk, built-in sofa and merchandise displays at The Bachelors haberdashery, designed by Julius Ralph Davidson in an art deco style, ""featuring panels of Makassar ebony set into aluminum frames, brown and tan carpeting laid in strips, and high-quality pigskin upholstery."" (Christopher Long, ""The Rise of California Modern Design, 1930-41,"" in ed. Wendy Kaplan, California Design, 1930-1965: Living in a Modern Way (2012), 65.|~|The Bachelors haberdashery was located at 3931 Wilshire Blvd.",Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: Jock Peters - Bachelors - Rewelling,,,,,uclamss_893_0221.jpg,uclamss_893_0221.tif
Work,"Connell (Will) Papers, 1928-1961",21198/zz002h2g83,21198/zz002h2fpt,Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles,still image,copyrighted,black-and-white photographs|~|cellulose nitrate film,,,California--Los Angeles,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,"Davidson, Julius Ralph, $d 1889-",1929,uclamss_893_0222,"Exterior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",[circa 1929],1 photographic negative,b&w nitrate negative,"Exterior view towards the window display of  The Bachelors, an art deco styled  haberdashery.|~|The Bachelors haberdashery was located at 3931 Wilshire Blvd.",Access to this collection is generously supported by Arcadia funds.,,,,,,,,uclamss_893_0222.jpg,uclamss_893_0222.tif
Work,"Connell (Will) Papers, 1928-1961",21198/zz002h2g9m,21198/zz002h2fpt,Interior design $z California $z Los Angeles,still image,copyrighted,black-and-white photographs|~|cellulose nitrate film,,"University of California, Los Angeles. $b Library Special Collections",California--Los Angeles,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,"Davidson, Julius Ralph, $d 1889-",1929,uclamss_893_0223,"Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",[circa 1929],1 photographic negative,b&w nitrate negative,"Detail of the art deco styled interior of The Bachelors haberdashery, designed by Julius Ralph Davidson in an art deco style. A cactus in a pot stands in front of venetian blinds serving as a room divider. The room beyond is furnished with directors chairs and a wood paneled desk, and the wall on the left is faced with closets with wood paneled sliding doors.",Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: Jock Peters - Bachelors - Rewelling,,,,,uclamss_893_0223.jpg,uclamss_893_0223.tif
Work,"Connell (Will) Papers, 1928-1961",21198/zz002j929c,21198/zz002h2fpt,Food industry $z California,still image,copyrighted,acetate film|~|black-and-white photographs,,"University of California, Los Angeles. $b Library Special Collections",California,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,,1928/1939|~|[between 1928-1939],uclamss_893_0121,"""Food"" in metal letters with the ""O-O"" forming a pair of eyeglasses, 1928-1939",,1 photographic negative,b&w negative,"This image was created for use in a photomontage (see image ark no. 21198/zz002j92cd).|~|""Food"" in metal letters with the ""OO"" forming a pair of eyeglasses. The photomontage that this image was used for is visible in the background.",Access to this collection is generously supported by Arcadia funds.,,,"Text from negative sleeve: Portrait, Specs, Goodyear, EW.",,,,,uclamss_893_0121.jpg,uclamss_893_0121.tif
